Key,English,Vietnamese
PRODUCTION_RECIPE_NAME_PURIFIEDWATER,Purified Water,Purified Water
PRODUCTION_RECIPE_NAME_WHITEREAGENT,White Reagent,White Reagent
PRODUCTION_RECIPE_NAME_BLUEREAGENT,Blue Reagent,Blue Reagent
PRODUCTION_RECIPE_NAME_REDREAGENT,Red Reagent,Red Reagent
PRODUCTION_RECIPE_NAME_GREENREAGENT,Green Reagent,Green Reagent
PRODUCTION_RECIPE_NAME_YELLOWREAGENT,Yellow Reagent,Yellow Reagent
PRODUCTION_RECIPE_NAME_GOLDREAGENT,Gold Reagent,Gold Reagent
PRODUCTION_RECIPE_NAME_VITALDRINK100,VitalDrink 100,VitalDrink 100
PRODUCTION_RECIPE_NAME_VITALDRINK200,VitalDrink 200,VitalDrink 200
PRODUCTION_RECIPE_NAME_FIRSTREFRESHER,First Refresher,Người làm mới đầu tiên
PRODUCTION_RECIPE_NAME_GRAYPILL,Gray Pill,Viên thuốc màu xám
PRODUCTION_RECIPE_NAME_SECONDREFRESHER,Second Refresher,Second Refresher
PRODUCTION_RECIPE_NAME_PINEOIL,Pine Oil,Pine Oil
PRODUCTION_RECIPE_NAME_VITALDRINK300,VitalDrink 300,VitalDrink 300
PRODUCTION_RECIPE_NAME_VITALDRINK400,VitalDrink 400,VitalDrink 400
PRODUCTION_RECIPE_NAME_VITALDRINK500,VitalDrink 500,VitalDrink 500
PRODUCTION_RECIPE_NAME_VITALDRINK600,VitalDrink 600,VitalDrink 600
PRODUCTION_RECIPE_NAME_VITALDRINK700,VitalDrink 700,VitalDrink 700
PRODUCTION_RECIPE_NAME_VITALDRINK800,VitalDrink 800,VitalDrink 800
PRODUCTION_RECIPE_NAME_YELLOWPILL,Yellow Pill,Viên thuốc màu vàng
PRODUCTION_RECIPE_NAME_BLUEPILL,Blue Pill,Viên thuốc màu xanh
PRODUCTION_RECIPE_NAME_REDPILL,Red Pill,Viên thuốc màu đỏ
PRODUCTION_RECIPE_NAME_THIRDREFRESHER,Third Refresher,Third Refresher
PRODUCTION_RECIPE_NAME_FOURTHREFRESHER,Fourth Refresher,Fourth Refresher
PRODUCTION_RECIPE_NAME_FIFTHREFRESHER,Fifth Refresher,Fifth Refresher
PRODUCTION_RECIPE_NAME_SIXTHREFRESHER,Sixth Refresher,Sixth Refresher
PRODUCTION_RECIPE_NAME_SEVENTHREFRESHER,Seventh Refresher,Seventh Refresher
PRODUCTION_RECIPE_NAME_EIGHTHREFRESHER,Eighth Refresher,Eighth Refresher 
PRODUCTION_RECIPE_NAME_VITALDRINK900,VitalDrink 900,VitalDrink 900
PRODUCTION_RECIPE_NAME_NINTHREFRESHER,Ninth Refresher,Ninth Refresher
PRODUCTION_RECIPE_NAME_TENTHREFRESHER,Tenth Refresher,Tenth Refresher
PRODUCTION_RECIPE_NAME_GOLDPILL,Gold Pill,Viên thuốc Vàng
PRODUCTION_RECIPE_NAME_SHININGGOLDPILL,Shining Gold Pill,Shining Gold Pill
PRODUCTION_RECIPE_NAME_CONCOCTIONOFTOUGHSKIN,Concoction of Tough Skin,Concoction of Tough Skin
PRODUCTION_RECIPE_NAME_CONCOCTIONOFRISINGPOWER,Concoction of Rising Power,Concoction of Rising Power
PRODUCTION_RECIPE_NAME_POTIONOFTHETIGER,Potion of the Tiger,Potion of the Tiger
PRODUCTION_RECIPE_NAME_POTIONOFTHERABBIT,Potion of the Rabbit,Potion of the Rabbit
PRODUCTION_RECIPE_NAME_POTIONOFTHEFOX,Potion of the Fox,Potion of the Fox
PRODUCTION_RECIPE_NAME_POTIONOFTHELION,Potion of the Lion,Potion of the Lion
PRODUCTION_RECIPE_NAME_CONCOCTIONOFACCURACY,Concoction of Accuracy,Concoction of Accuracy
PRODUCTION_RECIPE_NAME_CONCOCTIONOFEVASION,Concoction of Evasion,Concoction of Evasion
PRODUCTION_RECIPE_NAME_CONCOCTIONOFSWIFTNESS,Concoction of Swiftness,Concoction of Swiftness
PRODUCTION_RECIPE_NAME_CONCOCTIONOFCLARITY,Concoction of Clarity,Concoction of Clarity
PRODUCTION_RECIPE_NAME_CONCOCTIONOFRECKLESSNESS,Concoction of Recklessness,Concoction of Recklessness
PRODUCTION_RECIPE_NAME_CONCOCTIONOFBLEEDING,Concoction of Bleeding,Concoction of Bleeding
